,sample,herv_or_clade,cpm1,cpm2,color_column
18983,SMS2,ERV_2694941,-3.027229947395816,-inf,SMS2
18984,SMS2,ERV_3662727,-inf,-inf,SMS2
18985,SMS2,ERV_2650663,-inf,-inf,SMS2
18986,SMS2,ERV_3680469,-1.928617658727705,-inf,SMS2
18987,SMS2,ERV_3782577,1.2563566144648146,-2.0327812483493446,SMS2
18988,SMS2,ERV_4444429,-inf,-inf,SMS2
18989,SMS2,ERV_2642121,-inf,-inf,SMS2
18990,SMS2,ERV_3638262,-1.774466978900447,-inf,SMS2
18991,SMS2,ERV_4369299,-0.9477884057159787,-inf,SMS2
18992,SMS2,ERV_3022023,-inf,-inf,SMS2
18993,SMS2,ERV_1101674,-inf,-inf,SMS2
18994,SMS2,ERV_3284753,-inf,-inf,SMS2
18995,SMS2,ERV_2664543,-inf,-inf,SMS2
18996,SMS2,ERV_3745555,-inf,-inf,SMS2
18997,SMS2,ERV_2857390,0.17144317015486665,-inf,SMS2
18998,SMS2,ERV_2493913,-inf,-inf,SMS2
18999,SMS2,ERV_2696673,-1.5231525506195407,-inf,SMS2
19000,SMS2,ERV_2681649,-inf,-inf,SMS2
19001,SMS2,ERV_2570523,-inf,-inf,SMS2
19002,SMS2,ERV_3228350,-1.4177920349617141,-inf,SMS2
19003,SMS2,ERV_1325048,-inf,-inf,SMS2
19004,SMS2,ERV_4423522,-inf,-inf,SMS2
19005,SMS2,ERV_3315937,-inf,-inf,SMS2
19006,SMS2,ERV_4333705,-2.33408276683587,-inf,SMS2
19007,SMS2,ERV_2720690,-inf,-inf,SMS2
19008,SMS2,ERV_2846529,-inf,-inf,SMS2
19009,SMS2,ERV_3972463,-inf,-inf,SMS2
19010,SMS2,ERV_3396191,-2.33408276683587,-inf,SMS2
19011,SMS2,ERV_4423917,-inf,-inf,SMS2
19012,SMS2,ERV_4373230,-inf,-inf,SMS2
19013,SMS2,ERV_2519695,-inf,-inf,SMS2
19014,SMS2,ERV_2641953,-inf,-inf,SMS2
19015,SMS2,ERV_3429149,-inf,-inf,SMS2
19016,SMS2,ERV_3714808,-1.0813197983405014,-inf,SMS2
19017,SMS2,ERV_2809223,-2.6217648392876503,-inf,SMS2
19018,SMS2,ERV_2427227,-1.774466978900447,-2.72592842890929,SMS2
19019,SMS2,ERV_2575997,0.7222741285345566,-2.72592842890929,SMS2
19020,SMS2,ERV_3308362,4.095233404079431,1.656098205764592,SMS2
19021,SMS2,ERV_2150012,-inf,-inf,SMS2
19022,SMS2,ERV_1038294,-inf,-inf,SMS2
19023,SMS2,ERV_1751239,0.35716031594995973,-inf,SMS2
19024,SMS2,ERV_3216055,-inf,-inf,SMS2
19025,SMS2,ERV_2677626,-1.928617658727705,-inf,SMS2
19026,SMS2,ERV_3122109,-3.7203771279557616,-inf,SMS2
19027,SMS2,ERV_1910503,-inf,-inf,SMS2
19028,SMS2,ERV_3125714,-inf,-inf,SMS2
19029,SMS2,ERV_1418097,-0.501501303087559,-2.72592842890929,SMS2
19030,SMS2,ERV_1230865,-inf,-inf,SMS2
19031,SMS2,ERV_1879795,-inf,-inf,SMS2
19032,SMS2,ERV_1031316,-inf,-inf,SMS2
19033,SMS2,ERV_1871227,0.5137293766414995,-2.72592842890929,SMS2
19034,SMS2,ERV_4262256,-inf,-inf,SMS2
19035,SMS2,ERV_1618462,-3.027229947395816,-inf,SMS2
19036,SMS2,ERV_3341325,-1.928617658727705,-inf,SMS2
19037,SMS2,ERV_1713963,-inf,-inf,SMS2
19038,SMS2,ERV_4360925,-inf,-inf,SMS2
19039,SMS2,ERV_2838099,-inf,-inf,SMS2
19040,SMS2,ERV_4192981,-inf,-inf,SMS2
19041,SMS2,ERV_1238511,-3.027229947395816,-inf,SMS2
19042,SMS2,ERV_4433101,-inf,-inf,SMS2
19043,SMS2,ERV_4396227,-inf,-inf,SMS2
19044,SMS2,ERV_3392449,-3.7203771279557616,-inf,SMS2
19045,SMS2,ERV_2926306,-inf,-inf,SMS2
19046,SMS2,ERV_1871739,0.9045956853285114,-inf,SMS2
19047,SMS2,ERV_2707035,-inf,-inf,SMS2
19048,SMS2,ERV_2973681,-inf,-inf,SMS2
19049,SMS2,ERV_3714004,-inf,-inf,SMS2
19050,SMS2,ERV_2648934,-inf,-inf,SMS2
19051,SMS2,ERV_3026710,1.3794892998684385,-0.7800182798539764,SMS2
19052,SMS2,ERV_2982865,-inf,-inf,SMS2
19053,SMS2,ERV_3394527,-inf,-inf,SMS2
19054,SMS2,ERV_2818823,-3.027229947395816,-inf,SMS2
19055,SMS2,ERV_1219757,-inf,-inf,SMS2
19056,SMS2,ERV_2993004,-inf,-inf,SMS2
19057,SMS2,ERV_3358726,-inf,-inf,SMS2
19058,SMS2,ERV_2711852,-inf,-inf,SMS2
19059,SMS2,ERV_1050009,-inf,-inf,SMS2
19060,SMS2,ERV_3806034,-inf,-inf,SMS2
19061,SMS2,ERV_2431376,-inf,-inf,SMS2
19062,SMS2,ERV_1222667,-inf,-inf,SMS2
19063,SMS2,ERV_4151528,-0.16502906646634607,-inf,SMS2
19064,SMS2,ERV_3947782,-inf,-inf,SMS2
19065,SMS2,ERV_4293493,-inf,-inf,SMS2
19066,SMS2,ERV_2846319,-1.928617658727705,-2.72592842890929,SMS2
19067,SMS2,ERV_3416991,-inf,-inf,SMS2
19068,SMS2,ERV_1510428,-inf,-inf,SMS2
19069,SMS2,ERV_1618857,2.0967340320074443,-0.24102177912128925,SMS2
19070,SMS2,ERV_4006973,0.48431549143520625,-2.72592842890929,SMS2
19071,SMS2,ERV_2634912,-inf,-inf,SMS2
19072,SMS2,ERV_3272960,-0.35308129796928583,-inf,SMS2
19073,SMS2,ERV_2064422,-inf,-inf,SMS2
19074,SMS2,ERV_2087416,-inf,-inf,SMS2
19075,SMS2,ERV_2876769,0.7794325423745052,-inf,SMS2
19076,SMS2,ERV_3926093,-2.1109392155216593,-0.9341689596812347,SMS2
19077,SMS2,ERV_4425426,-inf,-inf,SMS2
19078,SMS2,ERV_4376206,-inf,-inf,SMS2
19079,SMS2,ERV_4443071,-inf,-inf,SMS2
